"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
restrictedduration,base,,radio,"Dauert  dieses Problem bereits 12 Monate an oder ist eine Dauer von mindestens 12 Monaten zu erwarten?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
physio,base,,radio,"Braucht oder bekommt Ihr Kind eine spezielle Therapie, wie z.B. Physiotherapie oder Ergotherapie?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
physioreason,base,,radio,"Geschieht dies aufgrund einer Krankheit, Verhaltensstörung oder eines anderen gesundheitlichen Problems?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
physioduration,base,,radio,"Dauert  dieses Problem bereits 12 Monate an oder ist eine Dauer von mindestens 12 Monaten zu erwarten?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
emtionproblem,base,,radio,"Hat Ihr Kind emotionale, Entwicklungs- oder Verhaltensprobleme, für die es Behandlung bzw. Beratung benötigt oder bekommt?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
emtionproblemduration,base,,radio,"Dauert  dieses Problem bereits 12 Monate an oder ist eine Dauer von mindestens 12 Monaten zu erwarten?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,medicine,,
child_medication_embed,base,,descriptive,"<div class=""rich-text-field-label""><p>MEDIKAMNTE :</p> <p> <span style=""font-weight: normal;"">Hat Ihr Kind in den vergangenen 12 Monaten eines der folgenden Medikamente bekommen?</span></p> <table style=""border-collapse: collapse; width: 100%; height: 276px;"" border=""1""> <tbody> <tr style=""height: 43px;""> <td style=""width: 51.9259%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">Schmerz- oder Fiebermittel (z.B. Paracetamol, Benuron, Aspirin, Ibuprofen)</span></td> <td style=""width: 48.0741%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">{painkiller}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 51.9259%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">Sprays/Inhalatoren zur Behandlung von Asthma (z.B. Budecort, Aarane, Aerodur)</span></td> <td style=""width: 48.0741%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">{sprays}</span></td> </tr> <tr style=""height: 43px;""> <td style=""width: 51.9259%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">Anti_Allergika (z.B. Cetirizin, Fenistil, Lorano, Allergoval)</span></td> <td style=""width: 48.0741%; height: 43px; border-style: hidden;""><span style=""font-weight: normal;"">{antiallergic}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Schleimlösende Medikamente (z.B. ACC, Mucosolvan, Bromhexin)</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{anticough}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Antibiotika</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{antibiotic}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Kortisonverwandte Medikamente (z.B. Salben, Tabletten)</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{cortisone}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Medikamente zur Behandlung von Übelkeit/Erbrechen, Durchfall und Verstopfung (z.B. Vomacur, Perocur, Macrogol, Bifiteral)</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{diarrhea}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Medikamente zur Behandlung von Pilzinfektionen (z.B. Canesten, Canifug)</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{fungalinfek}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 51.9259%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">Andere Medikamente</span></td> <td style=""width: 48.0741%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{othermedicine}</span></td> </tr> </tbody> </table> <p style=""padding-left: 40px;"">Wenn Sie bei ein oder mehreren Medikamenten ""Ja"" angekreuzt haben, würden wir Sie gern zur Erfragung weiterer Details zu den Präparaten bitten, den beigefügten Medikamentenbogen auszufüllen.</p> <p> </p></div>",,,,,,,,,,,,,
painkiller,base,,radio,"Schmerz- oder Fiebermittel (z.B. Paracetamol, Benuron, Aspirin, Ibuprofen)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
sprays,base,,radio,"Sprays/Inhalatoren zur Behandlung von Asthma (z.B. Budecort, Aarane, Aerodur)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
antiallergic,base,,radio,"Anti_Allergika (z.B. Cetirizin, Fenistil, Lorano, Allergoval)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
anticough,base,,radio,"Schleimlösende Medikamente (z.B. ACC, Mucosolvan, Bromhexin)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
antibiotic,base,,radio,Antibiotika,"1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
cortisone,base,,radio,"Kortisonverwandte Medikamente (z.B. Salben, Tabletten)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
diarrhea,base,,radio,"Medikamente zur Behandlung von Übelkeit/Erbrechen, Durchfall und Verstopfung (z.B. Vomacur, Perocur, Macrogol, Bifiteral)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
fungalinfek,base,,radio,"Medikamente zur Behandlung von Pilzinfektionen (z.B. Canesten, Canifug)","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
othermedicine,base,,radio,"Andere Medikamente","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,,,child_medication,,
accident_embed,base,,descriptive,"<div class=""rich-text-field-label""><p>UNFÄLLE :</p> <table style=""border-collapse: collapse; width: 100%; height: 173px;"" border=""1""> <tbody> <tr style=""height: 89px;""> <td style=""width: 100%; height: 89px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">Hat sich Ihr Kind in den letzten 12 Monaten durch einen Unfall verletzt oder vergiftet und musste deshalb ärztlich behandelt werden?</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 100%; height: 21px; padding-left: 40px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">{hurtdoc}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 100%; height: 21px; border-style: hidden; padding-left: 40px;"" colspan=""2"">Wenn Ja<span style=""font-weight: normal;"">, wurde Ihr Kind bei diesem letzten Unfall stationär im Krankenhaus behandelt?</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 100%; height: 21px; padding-left: 80px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">{hurthospital}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 73.4074%; height: 21px; border-style: hidden;""> <p style=""padding-left: 40px;"">Wenn ja<span style=""font-weight: normal;"">, wie lange dauerte die Behandlung im Krankenhaus?</span></p> <p style=""padding-left: 40px;""><span style=""font-weight: normal;"">(Wenn Ihr Kind keine Nacht im Krankenhaus lag, tragen Sie bitte eine 0 ein!)</span></p> </td> <td style=""width: 26.5926%; height: 21px; border-style: hidden;""><span style=""font-weight: normal;"">{hurtduration}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
hurtdoc,base,,radio,"Hat sich Ihr Kind in den letzten 12 Monaten durch einen Unfall verletzt oder vergiftet und musste deshalb ärztlich behandelt werden? ","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
hurthospital,base,,radio,"Wenn Ja, wurde Ihr Kind bei diesem letzten Unfall stationär im Krankenhaus behandelt?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
hurtduration,base,,text,"Wenn ja, wie lange dauerte die Behandlung im Krankenhaus?",,"(Wenn Ihr Kind keine Nacht im Krankenhaus lag, tragen Sie bitte eine 0 ein!)",integer,-100,365,,,,,,,," @PLACEHOLDER= ""Nächte"""
development,entwicklung,,descriptive,"<div class=""rich-text-field-label""><p>Bei meinem Kind habe ich die folgenden Entwicklungsfortschritte beobachten können:</p> <table style=""border-collapse: collapse; width: 100%; height: 88px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 30.8731%; border-style: hidden; height: 22px;""> </td> <td style=""width: 20.0193%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Alter</span></td> <td style=""width: 49.1075%; border-style: hidden; height: 22px;""> </td> </tr> <tr style=""height: 22px;""> <td style=""width: 30.8731%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Freies Sitzen</span></td> <td style=""width: 20.0193%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{freesitage}</span></td> <td style=""width: 49.1075%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{freesit}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 30.8731%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Erste Worte mit Bedeutung </span></td> <td style=""width: 20.0193%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{firstwordage}</span></td> <td style=""width: 49.1075%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{firstword}</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 30.8731%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">Allein aus einer Tasse trinken </span></td> <td style=""width: 20.0193%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{alonedrinkage}</span></td> <td style=""width: 49.1075%; border-style: hidden; height: 22px;""><span style=""font-weight: normal;"">{alonedrink}</span></td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
freesit,entwicklung,,radio,"Freies Sitzen","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
freesitage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[freesit] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
firstword,entwicklung,,radio,"Erste Worte mit Bedeutung ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
firstwordage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[firstword] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
alonedrink,entwicklung,,radio,"Allein aus einer Tasse trinken ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
alonedrinkage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[alonedrink] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
development2,entwicklung,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 100%; height: 84px;"" border=""1""> <tbody> <tr style=""height: 21px;""> <td style=""width: 24.2161%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Freies Laufen</span></td> <td style=""width: 20.0192%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{freerunage}</span></td> <td style=""width: 55.7646%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{freerun}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 24.2161%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Tagsüber ""trocken""</span></td> <td style=""width: 20.0192%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{daydryage}</span></td> <td style=""width: 55.7646%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{daydry}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 24.2161%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Nachts ""trocken"" </span></td> <td style=""width: 20.0192%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{nightdryage}</span></td> <td style=""width: 55.7646%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{nightdry}</span></td> </tr> <tr style=""height: 21px;""> <td style=""width: 24.2161%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">Ganz sauber </span></td> <td style=""width: 20.0192%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{cleanage}</span></td> <td style=""width: 55.7646%; border-style: hidden; height: 21px;""><span style=""font-weight: normal;"">{clean}</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
freerun,entwicklung,,radio,"Freies Laufen ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
freerunage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[freerun] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
daydry,entwicklung,,radio,"Tagsüber ""trocken"" ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
daydryage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[daydry] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
nightdry,entwicklung,,radio,"Nachts ""trocken"" ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
nightdryage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[nightdry] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
clean,entwicklung,,radio,"Ganz sauber ","1, Ja | 0, Noch nicht | 2, Weiß nicht | -99, Fehlende Antwort",,,,,,,,RH,,,,
cleanage,entwicklung,,text,"Mit wie vielen Monaten konnten Sie das das erste Mal beobachten?",,,number,-100,100,,"[clean] = '1'",,,,,," @PLACEHOLDER = 'Monate'"
development_progress,entwicklung,,radio,"Wenn Sie die Entwicklung Ihres Kindes mit anderen gleichaltrigen Kindern vergleichen,
beurteilen Sie Ihr Kind dann als?
","1, Rascher entwickelt | 2, Normal, gleich schnell entwickelt | 3, Langsamer entwickelt | -99, Fehlende Antwort",,,,,,,,LV,,,,
appropriate_speak,entwicklung,,radio,"Spricht Ihr Kind altersgemäß?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
health_condition,entwicklung,,radio,"Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?","1, sehr gut | 2, gut | 3, mittelmäßig | 4, schlecht | 5, sehr schlecht | -99, Fehlende Antwort",,,,,,,,LH,,,,
oculist,entwicklung,,checkbox,"Benötigt Ihr Kind eine augenärztliche Behandlung?","2, Ja, eine Schielbehandlung | 1, Ja, eine Brille | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
otolaryngologist,entwicklung,,radio,"Wurde Ihr Kind wegen einer Hörstörung bei einem Hals-Nasen-Ohren-Arzt vorgestellt?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
otolaryngologist_op,entwicklung,,radio,"Wurde bei Ihrem Kind eine Hals-Nasen-Ohren-ärztliche Operation durchgeführt?","1, Ja {otolaryngologist_opexact} | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
otolaryngologist_opexact,entwicklung,,checkbox,"Welche Operation wurde genau durchgeführt?","1, Einsetzen von Paukenröhrchen | 2, Tonsillektomie (Entfernung der Rachenmandel) | 4, Tonsillotomie (Verkleinerung der Rachenmandel) | -99, Fehlende Antwort",,,,,,"[otolaryngologist_op] = ""1""",,,,,,
inclusive_school,entwicklung,,radio,"Beansprucht Ihr Kind einen Inklusionsplatz in der Schule?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LH,,,,
school_type,entwicklung,,radio,"Welche Schulart besucht Ihr Kind ?","1, Grundschule | 2, Vorschule | 3, Förderschule | 4, Sonstiges | -99, Fehlende Antwort",,,,,,,,LV,,,,
diaper,entwicklung,,checkbox,"Benötigt Ihr Kind eine Windel?","1, nachts | 2, tagsüber | -99, Fehlende Antwort",,,,,,,,LH,,,,
foodbreastfeed2,ernaehrung,,radio,"Wird bzw. wurde Ihr Kind gestillt?","0, Nein | 1, Es wird zurzeit noch gestillt. | 2, Es wurde gestillt bis zum {breastfeedage} . Lebensmonat gestillt. | 3, Weiß nicht. | -99, Fehlende Antwort",,,,,,,,LV,,,,
breastfeedage,ernaehrung,,text,"Bis zu welchem Lebensmonat wurde es gestillt?",,,number,-100,60,,,,,,,,
foodbreastfeed,ernaehrung,,radio,"Stillen Sie noch ?","0, Ich stille nicht mehr | 1, Ja | 2, Ich habe nie gestillt | -99, Fehlende Antwort",,,,,,,,LV,,,,
more_children_embed,ernaehrung,,descriptive,"<div class=""rich-text-field-label""><p> </p> <p><span style=""font-weight: normal;"">Haben Sie mehr Kinder als Ihr Neugeborenes ?</span><br /><span style=""font-weight: normal;"">{more_children}</span></p> <p style=""padding-left: 40px;"">Wenn ja<span style=""font-weight: normal;"">, wie lange wurde(n) diese(s) Kind(er) gestillt? </span></p> <p style=""padding-left: 40px;""><span style=""font-weight: normal;"">{more_children_age}</span></p> <p style=""padding-left: 40px;""> </p></div>",,,,,,,,,,,,,
more_children,ernaehrung,,radio,"Haben Sie mehr Kinder als Ihr Neugeborenes","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LV,,,,"-99, Fehlende Antwort|-88, Erlaubt fehlende Antwort|0, Nein|1, Ja"
more_children_age,ernaehrung,,checkbox,"Wenn ja, wie lange wurde(n) diese(s) Kind(er) gestillt?","1, 1. Kind {breastfeed_child1} Wochen | 2, 2. Kind {breastfeed_child2} Wochen | 3, 3. Kind {breastfeed_child3} Wochen | 4, 4. Kind {breastfeed_child4} Wochen | 5, 5. Kind {breastfeed_child5} Wochen | 6, weiß ich nicht | -99, Fehlende Antwort",,,,,,,,LV,,,,
breastfeed_child1,ernaehrung,,text,"Kind 1:",,"Dauer in Wochen",number,-100,240,,,,,,,," @PLACEHOLDER = 'Wochen'"
breastfeed_child2,ernaehrung,,text,"Kind 2:",,"Dauer in Wochen",number,-100,240,,,,,,,," @PLACEHOLDER = 'Wochen'"
breastfeed_child3,ernaehrung,,text,"Kind 3:",,"Dauer in Wochen",number,-100,240,,,,,,,," @PLACEHOLDER = 'Wochen'"
breastfeed_child4,ernaehrung,,text,"Kind 4:",,"Dauer in Wochen",number,-100,240,,,,,,,," @PLACEHOLDER = 'Wochen'"
breastfeed_child5,ernaehrung,,text,"Kind 5:",,"Dauer in Wochen",number,-100,240,,,,,,,," @PLACEHOLDER = 'Wochen'"
foodbreastfeedonly,ernaehrung,,radio,"Wie lange wurde Ihr Kind ausschließlich gestillt, also ohne zusätzliche Gabe von Flaschennahrung,  Säuglingsanfangsnahrung oder Beikost?","0, Es wurde nie ausschließlich gestillt | 1, Es wird zurzeit noch ausschließlich gestillt | 2, Es wurde ausschließlich gestillt bis zum {foodbreastfeedonlyage} . Lebensmonat gestillt. | 3, weiß nicht | -99, Fehlende Antwort",,,,,,,,LV,,,,
foodbreastfeedonlyage,ernaehrung,,text,"Bis zu welchem Lebensmonat wurde es ausschließlich gestillt?",,,number,-100,60,,,,,,,,
foodbottle_embed,ernaehrung,,descriptive,"<div class=""rich-text-field-label""><p> </p> <table style=""border-collapse: collapse; width: 95.6522%; height: 88px;"" border=""1""> <tbody> <tr style=""height: 22px;""> <td style=""width: 80.29%; height: 22px; border-style: hidden;"" colspan=""3""><span style=""font-weight: normal;"">Erhält bzw. erhielt Ihr Kind Flaschennahrung?</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 18.8713%; height: 66px; border-style: hidden;"" rowspan=""3""><span style=""font-weight: normal;"">{foodbottle}          </span></td> <td style=""width: 61.4187%; height: 22px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">Seit dem {foodbottlestart} . Lebensmonat</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 61.4187%; height: 22px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">Vom {foodbottlebegin} . Lebensmonat</span></td> </tr> <tr style=""height: 22px;""> <td style=""width: 61.4187%; height: 22px; border-style: hidden;"" colspan=""2""><span style=""font-weight: normal;"">bis zum {foodbottleend} . Lebensmonat</span></td> </tr> </tbody> </table> <p> </p></div>",,,,,,,,,,,,,
foodbottle,ernaehrung,,radio,"Erhält bzw. erhielt Ihr Kind Flaschennahrung? ","0, Nein | 1, Es erhält zurzeit Flaschennahrung | 2, Es erhielt Flaschennahrung | -99, Fehlende Antwort",,,,,,,,,,,,
foodbottlestart,ernaehrung,,text,"Seit welchem Lebensmonat erhält Ihr Kind Flaschennahrung?",,,number,-100,100,,"[foodbottle] = '1'",,,,,,
foodbottlebegin,ernaehrung,,text,"Von welchem Lebensmonat an erhielt Ihr Kind Flaschennahrung?",,,number,-100,100,,"[foodbottle] = '2'",,,,,,
foodbottleend,ernaehrung,,text,"Bis zu welchem Lebensmonat erhielt Ihr Kind Flaschennahrung?",,,number,-100,100,,"[foodbottle] = '2'",,,,,,
supplementing,ernaehrung,,radio,"Sie stillen oder stillen nicht mehr. Haben Sie Zusatznahrung verwandt bzw. tun es noch?","1, Ja | 0, Nein | -99, Fehlende Antwort",,,,,,,,LV,,,,
nosupplementingduration,ernaehrung,,text,"Wie viele Monate haben Sie ohne Zusatznahrung gestillt?",,,integer,-100,100,,"[supplementing] = '1'",,,,,,
supplementing_exact,ernaehrung,,checkbox,"Was haben Sie dazu gefüttert bzw. was füttern Sie dazu?","1, Muttermichersatznahrung | 2, Hypoallergene Muttermilchersatznahrung bzw. allergenreduzierte Nahrung (z.B. HA Nahrung) | 3, allergenfreie Nahrung (z.B. Nutramigen, Neocate) | 4, Andere (z.B. Breikost) {supplementing_exactother} | -99, Fehlende Antwort",,,,,,,,LV,,,,
supplementing_exactother,ernaehrung,,text,"Welche andere Zusatznahrung genau?",,,,,,,"[supplementing_exact(4)] = '1'",,,,,," @PLACEHOLDER = 'was genau'"
